,Lat,Lon,Cls,species,country_code,state,Alt,Alt_zone,presence
12370,40.17877197265625,-92.64802551269533,Dfa,9602,US,Missouri,247.0,3,1
12371,39.82345199584961,-104.77532958984376,BSk,9602,US,Colorado,1626.0,6,1
12372,35.00947189331055,-85.3659439086914,Cfa,9602,US,Tennessee,201.0,3,1
12373,37.21950149536133,-80.43326568603516,Cfa,9602,US,Virginia,612.0,4,1
12374,39.2930793762207,-84.6856689453125,Cfa,9602,US,Ohio,176.0,3,1
12375,39.08576965332031,-75.4169921875,Cfa,9602,US,Delaware,4.0,1,1
12376,42.36599349975586,-71.24626922607422,Dfa,9602,US,Massachusetts,25.0,2,1
12377,42.21919250488281,-71.118896484375,Dfa,9602,US,Massachusetts,74.0,2,1
12378,39.41782760620117,-77.42391967773438,Cfa,9602,US,Maryland,89.0,2,1
12379,42.65967178344727,-70.60053253173828,Dfb,9602,US,Massachusetts,12.0,1,1
12380,36.21184158325195,-81.77792358398438,Cfb,9602,US,North Carolina,812.0,4,1
12381,31.37417984008789,-94.72769165039062,Cfa,9602,US,Texas,74.0,2,1
12382,29.99894905090332,-90.2119598388672,Cfa,9602,US,Louisiana,0.0,1,1
12383,44.830116271972656,-72.48107147216797,Dfb,9602,US,Vermont,400.0,3,1
12384,40.60272979736328,-74.53277587890625,Cfa,9602,US,New Jersey,80.0,2,1
12385,41.74927520751953,-88.24077606201172,Dfa,9602,US,Illinois,211.0,3,1
12386,28.35873413085937,-81.5918960571289,Cfa,9602,US,Florida,38.0,2,1
12387,42.34589385986328,-71.11200714111328,Dfa,9602,US,Massachusetts,9.0,1,1
12388,42.30256271362305,-71.12569427490234,Dfa,9602,US,Massachusetts,44.0,2,1
12389,43.123008728027344,-93.45741271972656,Dfa,9602,US,Iowa,388.0,3,1
12390,41.24173355102539,-95.95684051513672,Dfa,9602,US,Nebraska,358.0,3,1
12391,41.98714828491211,-72.60569763183594,Dfa,9602,US,Connecticut,10.0,1,1
12392,41.7718505859375,-71.3973159790039,Cfa,9602,US,Rhode Island,-12.0,0,1
12393,28.80842971801757,-97.01969909667967,Cfa,9602,US,Texas,31.0,2,1
12394,40.8452377319336,-75.69985961914062,Dfa,9602,US,Pennsylvania,213.0,3,1
12395,40.84444427490234,-72.80150604248047,Cfa,9602,US,New York,35.0,2,1
